zip,income,year
52761,30212.0,2018
60002,36319.0,2018
60004,48583.0,2018
60005,40450.0,2018
60007,41013.0,2018
60008,36404.0,2018
60010,54598.0,2018
60012,47704.0,2018
60013,39830.0,2018
60014,38827.0,2018
60015,55420.0,2018
60016,33932.0,2018
60018,28253.0,2018
60020,32537.0,2018
60021,41333.0,2018
60022,80551.0,2018
60025,43773.0,2018
60026,49818.0,2018
60029,81250.0,2018
60030,40743.0,2018
60031,41813.0,2018
60033,27673.0,2018
60034,27287.0,2018
60035,61903.0,2018
60040,30545.0,2018
60041,33646.0,2018
60042,38468.0,2018
60043,72750.0,2018
60044,53148.0,2018
60045,55842.0,2018
60046,42377.0,2018
60047,51934.0,2018
60048,50413.0,2018
60050,32697.0,2018
60051,39353.0,2018
60053,36937.0,2018
60056,38496.0,2018
60060,39325.0,2018
60061,49096.0,2018
60062,48713.0,2018
60064,19966.0,2018
60067,47941.0,2018
60068,49356.0,2018
60069,52870.0,2018
60070,30955.0,2018
60071,31509.0,2018
60072,46000.0,2018
60073,31363.0,2018
60074,35576.0,2018
60076,35195.0,2018
60077,31184.0,2018
60081,37225.0,2018
60083,40746.0,2018
60084,37122.0,2018
60085,22610.0,2018
60087,29597.0,2018
60088,18810.0,2018
60089,52840.0,2018
60090,32708.0,2018
60091,62367.0,2018
60093,74417.0,2018
60096,40687.0,2018
60097,39115.0,2018
60098,31844.0,2018
60099,27599.0,2018
60101,28749.0,2018
60102,43071.0,2018
60103,43266.0,2018
60104,26505.0,2018
60106,29163.0,2018
60107,32133.0,2018
60108,40385.0,2018
60109,31818.0,2018
60110,27464.0,2018
60111,63214.0,2018
60112,36641.0,2018
60113,33750.0,2018
60115,19400.0,2018
60118,41443.0,2018
60119,40374.0,2018
60120,26314.0,2018
60123,29120.0,2018
60124,50917.0,2018
60126,49293.0,2018
60129,26071.0,2018
60130,40828.0,2018
60131,30284.0,2018
60133,30056.0,2018
60134,49652.0,2018
60135,29702.0,2018
60136,49431.0,2018
60137,48738.0,2018
60139,30808.0,2018
60140,37397.0,2018
60141,13068.0,2018
60142,41175.0,2018
60143,42421.0,2018
60144,30625.0,2018
60145,37033.0,2018
60146,34348.0,2018
60148,40116.0,2018
60150,40025.0,2018
60151,42463.0,2018
60152,37947.0,2018
60153,25056.0,2018
60154,41474.0,2018
60155,27213.0,2018
60156,41353.0,2018
60157,38443.0,2018
60160,26099.0,2018
60162,27839.0,2018
60163,28830.0,2018
60164,27837.0,2018
60165,25703.0,2018
60169,35446.0,2018
60171,27162.0,2018
60172,38568.0,2018
60173,52668.0,2018
60174,37373.0,2018
60175,49492.0,2018
60176,31197.0,2018
60177,39995.0,2018
60178,35759.0,2018
60180,22006.0,2018
60181,35048.0,2018
60184,49464.0,2018
60185,30018.0,2018
60187,35839.0,2018
60188,36363.0,2018
60189,46766.0,2018
60190,47775.0,2018
60191,30997.0,2018
60192,51563.0,2018
60193,40690.0,2018
60194,39683.0,2018
60195,52357.0,2018
60201,30695.0,2018
60202,41586.0,2018
60203,55688.0,2018
60301,57222.0,2018
60302,51819.0,2018
60304,52788.0,2018
60305,61525.0,2018
60401,31776.0,2018
60402,29123.0,2018
60403,27721.0,2018
60404,42486.0,2018
60406,25180.0,2018
60407,27397.0,2018
60408,33438.0,2018
60409,24162.0,2018
60410,40803.0,2018
60411,25212.0,2018
60415,27476.0,2018
60416,39199.0,2018
60417,32881.0,2018
60419,23183.0,2018
60420,32909.0,2018
60421,40040.0,2018
60422,53158.0,2018
60423,46446.0,2018
60424,30686.0,2018
60425,32637.0,2018
60426,20528.0,2018
60428,22343.0,2018
60429,28562.0,2018
60430,38506.0,2018
60431,38796.0,2018
60432,22528.0,2018
60433,23007.0,2018
60435,28641.0,2018
60436,25096.0,2018
60437,26750.0,2018
60438,30159.0,2018
60439,39678.0,2018
60440,29798.0,2018
60441,35336.0,2018
60442,41741.0,2018
60443,35944.0,2018
60444,37109.0,2018
60445,31120.0,2018
60446,30545.0,2018
60447,39210.0,2018
60448,47966.0,2018
60449,40731.0,2018
60450,37232.0,2018
60451,46918.0,2018
60452,35621.0,2018
60453,32779.0,2018
60455,25261.0,2018
60456,28255.0,2018
60457,31066.0,2018
60458,26542.0,2018
60459,28132.0,2018
60460,31689.0,2018
60461,49635.0,2018
60462,39922.0,2018
60463,39114.0,2018
60464,41960.0,2018
60465,31810.0,2018
60466,28827.0,2018
60467,38703.0,2018
60468,35161.0,2018
60469,28326.0,2018
60470,34625.0,2018
60471,35003.0,2018
60472,16093.0,2018
60473,29925.0,2018
60474,37361.0,2018
60475,28721.0,2018
60476,32616.0,2018
60477,36785.0,2018
60478,30335.0,2018
60479,30461.0,2018
60480,37385.0,2018
60481,29048.0,2018
60482,27784.0,2018
60484,29304.0,2018
60487,44062.0,2018
60490,50106.0,2018
60491,41692.0,2018
60501,25103.0,2018
60502,52598.0,2018
60503,55813.0,2018
60504,38059.0,2018
60505,23402.0,2018
60506,27184.0,2018
60510,43103.0,2018
60511,41681.0,2018
60512,28688.0,2018
60513,41091.0,2018
60514,60193.0,2018
60515,43203.0,2018
60516,44322.0,2018
60517,42671.0,2018
60518,26394.0,2018
60519,,2018
60520,31010.0,2018
60521,64363.0,2018
60523,46206.0,2018
60525,37847.0,2018
60526,46633.0,2018
60527,49174.0,2018
60530,30903.0,2018
60531,33023.0,2018
60532,44016.0,2018
60534,30687.0,2018
60536,26875.0,2018
60537,38438.0,2018
60538,35986.0,2018
60539,23468.0,2018
60540,47283.0,2018
60541,38696.0,2018
60542,39607.0,2018
