,rt,n_delayed,percentage_delayed,total_trips,max_delayed_time
0,26,84,80,105,306.2916667
1,9,1055,74.9822317,1407,119.7214286
2,21,444,54.95049505,808,89.85
3,4,665,53.45659164,1244,124.8677596
4,8,659,51.40405616,1282,166.5402299
5,3,587,48.47233691,1211,196.029932
6,X4,136,45.63758389,298,100.65625
7,X9,199,44.02654867,452,129.5454545
8,7,264,41.31455399,639,137.8275862
9,18,259,39.9691358,648,80.01428571
10,24,134,39.5280236,339,42.7875
11,6,402,39.29618768,1023,124.0116279
12,20,586,38.65435356,1516,82.71944444
13,152,346,35.27013252,981,62.06451613
14,206,34,34.69387755,98,49.09215686
15,8A,288,32.46899662,887,89.73233333
16,5,31,31.95876289,97,51.07142857
17,135,42,31.57894737,133,72
18,87,381,31.1529027,1223,73.1046875
19,J14,234,29.47103275,794,138.3888889
20,151,309,28.85154062,1071,68.74137931
21,143,23,28.75,80,46.25
22,2,71,28.28685259,251,42.8
23,12,344,28.21985234,1219,44.09459459
24,78,218,28.12903226,775,67.89130435
25,47,324,27.93103448,1160,55.74299065
26,70,231,24.78540773,932,69.075
27,52,246,24.62462462,999,53.94647436
28,146,270,24.15026834,1118,62.29716981
29,157,122,23.50674374,519,114.0350877
30,67,283,23.12091503,1224,64.60313531
31,72,304,22.96072508,1324,43.77631579
32,65,181,22.29064039,812,100.738806
33,126,169,22.26613966,759,44.93181818
34,53,312,21.63661581,1442,65.09
35,106,143,21.34328358,670,118.7407407
36,37,71,21.32132132,333,48.87096774
37,93,115,20.72072072,555,84.48
38,36,217,20.52980132,1057,97.39010989
39,147,208,20.15503876,1032,77.13580247
40,201,73,20,365,45.9137931
41,95,177,19.77653631,895,55.08695652
42,15,165,19.61950059,841,74.44827586
43,156,78,19.35483871,403,47.76829268
44,171,47,18.9516129,248,80.5
45,30,130,18.18181818,715,58.9625
46,119,204,17.66233766,1155,120.9130435
47,35,154,17.55986317,877,42.92647059
48,115,147,17.54176611,838,54.19354839
49,111A,58,17.46987952,332,239
50,1,48,17.39130435,276,27.51923077
51,66,319,16.99520511,1877,76.64210526
52,53A,161,16.82340648,957,58.83802817
53,94,139,16.70673077,832,94.3867284
54,79,391,16.51182432,2368,96.67539683
55,49,227,16.49709302,1376,102.9285714
56,121,27,16.46341463,164,23.5
57,X49,49,16.33333333,300,35
58,55,193,15.92409241,1212,75.46719577
59,62,153,15.17857143,1008,85.50454545
60,80,169,15.17055655,1114,81.13888889
61,103,121,14.82843137,816,51.95833333
62,84,104,14.81481481,702,27.78947368
63,86,62,14.69194313,422,44.89473684
64,54A,26,14.44444444,180,43.57894737
65,50,120,14.28571429,840,78.22881356
66,136,14,13.86138614,101,48.5
67,111,113,13.83108935,817,68.28125
68,56,107,13.77091377,777,60.29740741
69,28,115,13.7067938,839,58.03333333
70,22,160,13.66353544,1171,94.12711864
71,97,86,13.3748056,643,53.63461538
72,165,11,13.25301205,83,27.33333333
73,73,94,13.18373072,713,65.02727273
74,76,123,12.77258567,963,36.19354839
75,124,65,12.57253385,517,32.72857143
76,44,86,12.51819505,687,59.98039216
77,77,195,12.3888183,1574,97.61666667
78,100,28,12.33480176,227,37.73529412
79,48,32,12.2605364,261,17.72580645
80,29,109,12.19239374,894,70.25609756
81,82,150,12,1250,32.875
82,155,128,11.5942029,1104,104.1842105
83,55A,21,11.47540984,183,41.2
84,172,77,11.42433234,674,62
85,54B,81,10.8,750,42.05
86,108,32,10.70234114,299,53.40322581
87,54,114,10.65420561,1070,98.59722222
88,60,117,10.12987013,1155,87.69871795
89,52A,65,9.984639017,651,50.046875
90,71,105,9.803921569,1071,70.22368421
91,112,74,9.698558322,763,51.85849057
92,59,51,9.090909091,561,30.60227273
93,49B,108,8.752025932,1234,42.12295082
94,91,65,8.724832215,745,65.42857143
95,63,117,8.47826087,1380,76.12068966
96,63W,55,8.076358297,681,100.5232558
97,81,98,7.567567568,1295,56.83898305
98,74,86,7.184628237,1197,33.32258065
99,68,41,7.167832168,572,81.91935484
100,90,56,7.106598985,788,51.47435897
101,148,10,6.993006993,143,34.57142857
102,125,15,6.787330317,221,25.8125
103,55N,26,6.419753086,405,40.42307692
104,11,33,6.191369606,533,48.84615385
105,96,18,6,300,40.46296296
106,92,48,5.992509363,801,31.07051282
107,75,46,5.418138987,849,42.31818182
108,120,8,5.298013245,151,24.33333333
109,34,66,5.284227382,1249,74.68627451
110,85,56,5.23364486,1070,98.99970238
111,39,27,4.918032787,549,30.65714286
112,192,4,4.651162791,86,12.57142857
113,169,2,4.545454545,44,25
114,43,25,4.280821918,584,61
115,81W,19,3.605313093,527,17
116,31,9,3.461538462,260,29.83333333
117,134,5,3.267973856,153,59.66666667
118,88,18,3.243243243,555,25.87931034
119,51,19,3.05958132,621,47.625
120,57,18,2.635431918,683,62.16666667
121,62H,11,2.631578947,418,20.51785714
122,85A,6,1.57480315,381,54.89285714
